Estacao;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Media
Vila Prudente;62;73;76;77;77;78;72;82;83;;;;76
Tamanduate;62;73;76;77;76;76;72;77;77;;;;74
Sacoma;33;39;41;41;41;40;38;41;42;;;;40
Alto do Ipiranga ;14;18;19;19;19;18;16;19;19;;;;18
Santos-Imigrantes ;13;15;15;15;16;15;14;16;15;;;;15
Chacara Klabin ;70;82;85;85;85;83;78;85;86;;;;82
Ana Rosa;51;59;62;62;61;61;56;61;62;;;;59
Paraiso;53;62;65;65;64;63;58;64;65;;;;62
Brigadeiro ;44;49;51;51;50;51;48;49;50;;;;49
Trianon-Masp ;38;47;50;49;49;44;43;48;50;;;;46
Consolaçao;81;98;102;102;100;97;89;99;101;;;;97
Clinicas ;18;21;22;22;22;21;20;21;21;;;;21
Santuario N.S. de Fatima-Sumarw ;8;10;11;11;11;10;9;10;11;;;;10
Vila Madalena;17;21;22;22;22;21;20;22;22;;;;21
Total;566;665;695;696;693;680;632;693;704;;;;669